Frequency (Hz)	|Z| (ohms)	Phase of Z (deg)	
18.4784984588623	149483.477894998	-8.01134148141761	
17.1132831573486	150645.509941352	-8.05379834101113	
15.8489322662354	151364.052911777	-8.13184323914982	
14.6779928207397	152299.097698167	-8.27774239912458	
13.5935640335083	153677.250542859	-8.44677233199135	
12.5892543792725	154700.70521917	-8.53688477316084	
11.6591444015503	155955.646386748	-8.63893811509162	
10.7977514266968	157026.905747897	-8.82371883107942	
10	157887.129808972	-8.91026469852872	
9.26118755340576	159127.605544819	-9.13303390908079	
8.57695865631104	160154.258021099	-9.19263916249887	
7.94328212738037	161783.815730642	-9.33050312608218	
7.35642242431641	162953.232417252	-9.53656101613616	
6.81292057037354	164243.852524707	-9.71278631343808	
6.30957365036011	165371.203836269	-9.79921611566296	
5.84341430664063	166592.35596668	-10.0096063344489	
5.41169548034668	168029.074117425	-10.123894818767	
5.01187229156494	169669.706125785	-10.3905601595988	
4.64158868789673	171213.091686369	-10.4948130256727	
4.29866218566895	172824.692636898	-10.5749372831852	
3.98107171058655	174009.640134843	-10.8636213316801	
3.68694496154785	175794.123034751	-11.0471448489988	
3.41454887390137	177642.979950882	-11.0930450624592	
3.16227769851685	179258.996183655	-11.4795684505685	
2.92864465713501	180807.767574572	-11.5278282443044	
2.71227264404297	182499.361828405	-11.7546986754353	
2.51188635826111	184617.962420222	-11.7915698919521	
2.32630515098572	186915.914974289	-12.16485043474	
2.15443468093872	188247.028555121	-12.3919326205716	
1.99526226520538	190301.124855338	-12.4615296244311	
1.84784984588623	192436.063675242	-12.6847261551696	
1.71132826805115	194391.489286679	-12.7996903860684	
1.58489322662354	197025.772267494	-12.8578054836007	
1.46779930591583	199965.079779491	-13.1464268265477	
1.35935640335083	202254.233298017	-13.5096699988916	
1.25892543792725	204131.210993088	-13.7213707630408	
1.16591441631317	206355.947835755	-13.8101755072111	
1.07977521419525	209093.280578254	-13.8926785684305	
1	211532.265385792	-14.004015381158	
0.926118731498718	214489.010731358	-14.3597553671244	
