Frequency (Hz)	Zre (ohms)	Zim (ohms)	
0.251188427209854	143.527359008789	-34.8919448852539	
0.232630327343941	145.015396118164	-34.8157920837402	
0.215443313121796	146.658294677734	-34.8466873168945	
0.199526101350784	147.952423095703	-34.7867851257324	
0.18478487432003	149.443511962891	-34.8224296569824	
0.171132743358612	150.853698730469	-34.8086280822754	
0.158489257097244	152.134689331055	-34.990535736084	
0.146779865026474	153.457656860352	-35.1159248352051	
0.135935604572296	154.755111694336	-35.3724632263184	
0.125892505049706	156.171234130859	-35.4897232055664	
0.116591297090054	157.552597045898	-35.8115501403809	
0.107977390289307	158.925567626953	-36.2344589233398	
0.0999998897314072	160.347045898438	-36.6046943664551	
0.0926117748022079	161.709838867188	-37.2769393920898	
0.0857695043087006	163.033721923828	-37.9080581665039	
0.0794327557086945	164.740203857422	-38.5857467651367	
0.0735641643404961	166.100509643555	-39.2201156616211	
0.0681291595101357	167.487503051758	-39.7729377746582	
0.0630956962704659	168.921524047852	-40.8294982910156	
0.0584341064095497	169.728302001953	-41.7567443847656	
0.0541169233620167	171.758270263672	-42.5769004821777	
0.050118699669838	173.84602355957	-43.6892623901367	
0.0464158728718758	175.186340332031	-44.7215843200684	
0.0429866090416908	176.944030761719	-46.2195892333984	
0.0398106649518013	178.535797119141	-47.6176528930664	
0.036869402974844	180.531234741211	-48.9412269592285	
0.0341454483568668	182.445190429688	-50.6043243408203	
0.0316227413713932	184.425018310547	-52.1968879699707	
0.0292864181101322	186.824645996094	-53.9621620178223	
0.027122700586915	189.164688110352	-55.9849662780762	
0.0251188427209854	191.150787353516	-57.509635925293	
0.023263031616807	193.827819824219	-59.6630821228027	
0.0215443316847086	196.412414550781	-62.0583419799805	
0.0199526101350784	198.241760253906	-64.893196105957	
0.0184784885495901	201.891815185547	-66.514762878418	
0.0171132739633322	204.338668823242	-69.5471038818359	
0.0158489253371954	208.033935546875	-71.561897277832	
0.0146779865026474	211.643341064453	-74.316162109375	
0.013593559153378	214.454605102539	-76.8887329101563	
0.0125892367213964	218.378280639648	-80.0757446289063	
0.0116591295227408	222.12385559082	-82.9128265380859	
0.0107977390289307	225.922149658203	-86.4854507446289	
0.00999998953193426	229.977874755859	-89.3898849487305	
